# htr=halvtransitiv
# durativ = perfektiv, ad->int

AASIINNGOOQ	<eo:lauxdire/part:som_vanlig_siges_det>
atuusarpaa	nil
atuussinnaasusiiaaneq	mortifikation
atuusaavoq	nil
atuuteqqilerpoq	genindtræde
atuutiinnartoq	ikraftblivende
atuutitsineq	implementering
atuuttoq	gyldig; tjenstgørende; som bliver brugt
atuuttuusoq	gældende
atuaaseritipput	der bliver lyst for dem i kirken
atuaaseraa	nil
atuaasoq	en ikke uddannet kateket; 2) læser (-en) (i Grønland i tidligere
atuaavoq	nil
ataa	nedenunder; nedenfor
ataani (pisussaaffik)	regi
ataappaa I	går under det
ataappaa II	skyder for lavt; rammer for lavt
ataaqqukkiartorpoq	nil
ataaqquppoq	går forbi længere nede
ataaqquppaa I	går under det
ataaqquppaa II	skyder for lavt; rammer for lavt
ataarpoq	nil
ataarpoq I	står på ski; løber på ski
ataarpoq II	kommer ud til kysten (om en renjæger)
ataarpaa	nil
ataaruppaat	nil
ataarut	nil
ataarutit	ski (-ene)
ataaseerpaa	dræber det (fangstdyret) med ét skud
ataaseq	én; ét; en enkelt; et enkelt
ataaseriarpoq	gør noget én gang
ataasersiut	éntal; éntalsform (-en) (gram)
ataaserusaq	nil
ataaseraarpoq	får en enkelt; fanger en enkelt
ataasiakkamik akilersuutissat	engangsbidrag
ataasiakkaanut isumaqatigiissutit	individuelle kontrakter
ataasiakkaarlugit	enkeltvis
ataasiakkaartunut akitsuut	stykafgift
ataasiakkaat	enkelte
ataasiakkaat ataatsimut katitikkat	syntese
ataasialisaarpoq	nil
ataasiallit	mandskamikker til festbrug med en hvid skindstribe foran
ataasiaq	nil
ataasiarpoq	gør noget én gang
ataasiartaq	en beklædningsgenstand som man kun har én eneste af
ataasiartaavoq	nil
ataasiinnarmik pissusilik	homogen
ataasiinnarmik aappanittarneq	monogami
ataasinngormat	i mandags
ataasinngorneq	mandag (-en)
ataasinngornermi	mandag den...
ataasinngorneruvoq	det er mandag
ataasinngornikkut	om mandagen
ataasinngorpat	på mandag
ataasinngorpoq I	klokken er et
ataasinngorpoq II	det er mandag
ataasinnguartorpoq	får en lille én; tager sig en øl
ataasioqatigaa	nil
ataasiussuseq	enhed
ataasiussusermik ilinniarneq	monisme
ataasiuvoq	nil
ataasiaannakkamik ikiorsiissutit	engangshjælp
ataasungarlugu	lige under det
ataasungarpoq	nil
ataasungarpaa	skyder lidt for lavt; rammer en smule for lavt
ataata	far
ataataq	far/fader (-en)
ataataqanngitsoq	faderløs
ataatarpooq	fadervor (-et)
ataatarpoorpoq	beder fadervor
ataatarsiaq	plejefar/plejefader (-en)
ataatasiaq	nil
ataatassarsiuineq	faderskabssag (-en)
ataatassarsiuinermik suliaq	faderskabssag
ataatassarsiuussineq	faderskabssag
ataatigut atsiortoq	undertegnede
ataatigut titarpaa	streger det under
ataatsikkoorput	nil
ataatsikkut	på én gang; samtidigt
ataatsimeeqataaqqusaq	tilforordnet
ataatsimeersuarneq	generalforsamling (-en); kongres (-sen)
ataatsimiigiaqqusissut	mødeindkaldelse
ataatsimiigiaqqusivoq	indkalder til møde
ataatsimiigiaqqussut	mødeindkaldelse (-n)
ataatsimiinneq I	møde (-t); konference (-n)
ataatsimiinneq II	samvær
ataatsimiinnermi (oqaluuserisanik/isumaqatigiinniutinik) allattuiff	forhandlingsprotokol
ataatsimiinnersiat	mødediæter
ataatsimiippoq	er til møde; sidder i møde
ataatsimiipput	de holder møde
ataatsimiitippai	nil
ataatsimiititaliaq	udvalg
ataatsimiititaliarsuaq	kommission
ataatsimiititaliat	udvalg (-et); nævn (-et)
ataatsimiititaliat ataavartut	stående udvalg
ataatsimiititaliat naliliisussat	bedømmelsesudvalg
ataatsimiititaliortitsivoq	nedsætter et udvalg
ataatsimiititaliaagallartoq	ad hoc udvalg
ataatsimiititat	udvalg (-et); nævn (-et)
ataatsimiititsivoq	afholder et møde
ataatsimiittarfik	mødelokale (-t); mødesal (-en)
ataatsimiittut	forsamling
ataatsimooqatigiinneq	associering
ataatsimoorfeqarneq	samhørighed
ataatsimoorfiit aningaasarsisitsisarfiusut	lønudbetalende enheder
ataatsimoorfiuneq	karisma
ataatsimoorluni pisussaaffilerneqarneq	hæftelse, solidarisk
ataatsimoortitsineq	integration
ataatsimoortumik isumaqatigiissutit	kollektive overenskomster; aftalekompleks
ataatsimoortumik naliliineq	helhedsvurdering
ataatsimoortumik tapiissutit	bloktilskud
ataatsimoortut	forsamling; fælles; kollektiv
ataatsimoortut	samlet; gruppe
ataatsimoortutut misigisimaneq	fællesskabsfølelse
ataatsimoorussamik najugaqatigiiffik	bofællesskab
ataatsimoorussamik sillimmasiineq	gruppeforsikring
ataatsimoorussaat pingajuat	det fælles tredje
ataatsimut	kollektiv
ataatsimut akileraarusigaaneq	sambeskatning
ataatsimut akileraarusigaaneq	sambeskatning
ataatsimut akileraarusiineq	sambeskatning
ataatsimut isumaqatigiissut	aftale, fælles
ataatsimut katersoqatigiinneq	plenum
ataatsimut pigisat	fælles bo
ataatsimut paasisassat	fælleselementer
ataatsimut aalajangiisinnaassuseqarneq	fælles beslutningskompetance
ataatsivoq	nil
ataataartorpoq	nil
ataataaruppoq	nil
ataataasinnaanermut qularnaassuseq kisitsisinngorlugu	faderskabsindex
ataataasinnaasoq	faderskabsemne
ataataassuseq	faderskab
ataataassutsimik akuersineq	anerkendelse af faderskab
ataataavoq	nil
ataavartoq	vedvarende; varig
ataavartumik ajoqutiligaq	varigt mén
ataavartumik annikilliliineq	varig nedsættelse
ataavartumik annikillineq	varig nedsættelse
ataavartumik ikiorsiissuteqartarneq	løbende underholdshjælp
ataavartumik nappaat	kronisk sygdom
ataavartussamik innarligaaneq takussunarsagaanerlu	lyde og vansir
autisme	autisme
automati	automat (-en)
Ava	Thuleområdet
avalagarput	nil
avalagiaq	nil
avalagiarfik	nil
avalakaasut	nil
avalanneq	nil
avalap quia	smukke ø
avalappoq	sejler ud; sejler af sted; rejser til Danmark 3) går ud på dan
avalappaa	nil
avalassarneq	fralandsvind (-en)
avalassaarpoq	sætter af fra land
avalatsippaa	nil
avalattaat	udhaler (-en) (til en båd)
avaleq	det der ligger længere ude
avaleqqoq	gren (-en)
avaleqqunippoq	nil
avalequsersorpaa	nil
avalequt	gren (-en)
avalequtinnguaq	kvist (-en)
avalequtaaruppoq	nil
avalequtaavoq	nil
avaleraq	finne (-n) (på en fladfisk)
avalerartooq	nil
avalerartorpoq	nil
avaleraasartooq	nil
avaleraasat	nil
avalia	nil
avalisaq	nil
avalisaarserpoq	nil
avalitserpoq	nil
avalitsersorpoq	nil
avalleq	det yderste; det der ligger længst ude
avallersaq	nil
avalliussaavoq	nil
avallunneq	gigt (-en)
avalluppoq	nil
avalaajaq	traktement (-et)
avalaajarpassuit	nil
avalaallerpoq	nil
avalaallutik	nil
avalaapput	nil
avalaappaa	tager ham/det med til søs; tager ham/det med ud på havet; tage
avalaavik	nil
avalaavoq	nil
avalaavaa	nil
avammuinnaq	nil
avammukarpoq	stikker til søs; sejler udefter
avammukaapput	nil
avammukaappaa	nil
avammut	nil
avammut allagarsiineq	opslag
avammut matoqqaneq	autisme
avammut nioqquteqaqqinneq	reeksport
avammut nioqquteqarneq	eksport
avammut nioqquteqarnermut agguaat	eksportkvoten
avammut niuerneq	eksport
avammut tunisineq	eksport
Avanersuaq	Thuleområdet
avanersuarmioq	én fra Thuleområdet; polareskimo (-en)
avaneraallak	nil
avani	dér nordpå
avaniippoq	nil
avaningaatsiaq	nil
avaningaatsiarsuaq	nil
avanissaaq	nil
avannamukaapput	nil
avannaq	nordenvind (-en)
avannaq kippasiartoq	NNW
avannaq'kangisiartoq	NNO
avannaq'kangisik	NO
avannaq'kippasik	NW
avannarleq	det nordlige; det mod nord
Avannarliit	nil
avannarliit	islandsdalen
avannarliit nuunnguat	vildmandsnæsset
avannarpasinaarpoq	nil
avannarpasinaarpaa	nil
avannarpasippoq	nil
avannerajuppoq	nil
avannerajussivoq	nil
avannerpoq	der er nordenvind; det blæser fra nord
avannersorsuuvoq	nil
avannga	nordfra; fra nord
avanngarnisaq	nil
avanngasik	nil
avanngasippoq	nil
avanngasissoorpoq	nil
avanngaanniit	nil
avanngaavoq	taler nordvestgrønlandsk dialekt
avannaa	det der er nord for det; det der ligger mod nord
avannaamioq	én der bor i Nordvestgrønland
Avannaamioq	nil
Avannaamioqatigiinni Atlantikumut Suleqatigiiffik	NORA
Avannaamioqatigiinni Ministerit Siunersioqatigiiffiat	NMR
avannaamioqatigiit	de nordiske folk
avannaamiuuvoq	nil
avannaamiuvik	nil
avannaani	nordpå; nord for det
avannaannguaq	nil
avannaannguarpoq	der blæser en svag nordenvind; det blæser svagt fra nord
Avannaarsua	Nordgrønland; den nordligste del af Grønland
avannaasaq	nil
AVAP	Direktoratet for Miljø og Natur
avaqquppaa	går uden om det; sejler uden om det
avaqqutsivoq	nil
avaqqutsorpoq	nil
avaqqutaaraluni ullukkut paaqqinnittarneq	sort dagpleje
avarrallappoq	har fået lede ved noget; har fået mere end nok
avaserpoq	nil
avaserpaa	nil
avasersorpaa	nil
avasersortarnera	grovmotorik
avasillineqarnera (sømilip)	bredde af, til en (sømil)
avasillisitsineq	udvidelse
avasippoq	er et godt stykke fra land
avasissoorpoq	nil
avasissumiippoq	nil
avasiuppaa	nil
avassilavoq	nil
avat	et bredt silkebånd forneden på en kvindeanorak
avatangerpaa	er kommet til at befinde sig ud for det
avatangerpaat	de stiller sig rundt om ham/dem; de står rundt om ham/dem
avatangersorpaa	nil
avatangiisinik ajoqusiisinnaasoq	miljøbelastende
avatangiisinik artukkiisoq	miljøbelastende
avatangiisinik illersuineq	miljøbeskyttelse
avatangiisinik innarliinerit	miljøskader
avatangiisinik innarlitsaaliuineq	miljøbeskyttelse
avatangiisinik mingutsitsineq	miljøforurening
avatangiisinut akornutaanngitsuutillugu akuersineq	miljøgodkendelse
avatangiisinut pinngortitamullu oqartussaasoqarfik	miljø- og naturforvaltning
Avatangiisinut Pinngortitamullu Pisortaqarfik	Direktoratet for Miljø og Natur
avatangiisinut tunngassuteqartut	miljøhensyn
avatangiisinut tunngasunik aqutsisoqarfik	miljøstyrelsen
avatangiisit	miljø: omgivelser (-ne)
avatangiisit atorlugit katsorsaaneq	miljøterapi
avatangiisit innarlitsaaliorneqarnerat	miljøbeskyttelse (-n)
avatangiisit sunnigaanerat	miljøpåvirkning
avatangiisit sunniinerat	miljøpåvirkning
avatangiisitigut pilersaarusiat	miljøprojekter
avatangiuppoq	nil
avataq	fangeblære (-n)
avatarpaarpoq	nil
avatarpaartippaa	nil
avatarserpaa	nil
avatartaq	nil
avatassaq	nil
avatassiaq	nil
avatassivoq	nil
avatikkaarpoq	nil
avatimmippai	nil
avatimmippoq	har dækslast både bagpå og foran (om en kajakmand)
avatinik atuisinnaaneq	grovmotorik
avatinut taarsersuutit	proteser
avatip annaasap annerinera	fantomsmerte
avatissaq	et bredt silkebånd til kanten forneden på en kvinde anorak
avatissarsivoq	nil
avatissaaruppoq	nil
avatit	lemmer (-ne); armene og benene
avatserpoq	nil
avatsisaarpoq	nil
avatsiuppaa	nil
avatsivoq	nil
avattappoq	nil
avattaatigaa	nil
avataa	det der ligger ud for kysten
avataajarpoq	nil
avataaniit aningaasaliissutit	fremmedkapital
avataaniit niuerneq	import
avataaniit pisineq	import
avataaniittoq	udenforstående; ekstern
avataaniittut	udenforstående
avataaniittuulersitaaneq	eksternalisering
avataanit siunnersortit	fremmede tjenesteydelser
avataaq	nil
avataarpoq	kaster fangeblæren ud
avataarserpoq	nil
avataarsualiartartoq	astronaut (-en); kosmonaut (-en)
avataartaarpoq	nil
avataaruppoq	nil
avataasalerpaa	nil
avataasaliuppaa	nil
avataasaq	bugserblære (-n); kanten forneden på en mandsanorak
avataasiorpoq	nil
Avataasiutinik Piginneqatigiiffiit Kattuffiat	Grønlands Havfiskerisammenslutning; APK
avataasiuuppaa	nil
averorpoq	skriger øredøvende
averrulasorsuuvoq	nil
averrulavoq	nil
averrullappoq	nil
averrullapput	nil
averuserneq	separation (-en)
averuserput	de er separeret
aviffiginninneq	skifte
aviffigaa	nil
avigasuarpoq	har travlt
avigialik	nil
Avigaat	(stednavn)
aviisertaaq	nil
aviisi	avis (-en); blad (-et)
aviisiliorpoq	nil
aviisiliortoq	journalist (-en)
aviisimik pisartagaqarneq	avisabonnement (-et); et abonnement på et blad
aviisipalaaq	smudsblad (-et)
aviisisivoq	nil
aviliaq	(en kvindes betegnelse for hendes mands medhustru)
aviliariipput	nil
aviliariit	nil
avilorpoq	runger
avilortulik	nil
avilortaaserpaa	nil
avilortaat	nil
avilualavoq	nil
avilualaarpoq	kimer
aviluarpaluppoq	nil
avinneq	skilsmisse (-n); en fraskilt 3) helvedesild (-en) (en sygdom)
avinnerluppaa	nil
avinngaq	lemming (-en)
avinngarulluni	nil
avinngaruppoq	er gået væk fra de andre; har skilt sig ud fra de øvrige
avinngarusimasoq	afsidesliggende
aviorpoq	nil
aviorput	nil
aviorpaa	nil
avippoq	nil
avipput	de bliver skilt
avippaa	deler det i to dele; lader sig skille fra ham/hende
avissivoq	tager et stykke af noget; skærer et stykke af
avissutit	nil
avissaaqquppoq	nil
avissaarneq	faktisk adskillelse
avissaarpoq	nil
avissaarput	de skilles; de går fra hinanden
avissaarpaa	nil
avissaartippai	skiller dem fra hinanden; skiller dem ad
avissaartitaq	udstødt (jf. marginaliseret )
avissaartitsineq	adskillelse; splitting; opsplitning
avissaartitaaneq	adskillelse
avissaavinneq	faktisk adskillelse
avitippai	nil
avitippaa	nil
avitsivoq	nil
avittarpoq	syr skindbroderi
avittat	skindbroderi (-et)
avittut	nil
avittaasiorpoq	nil
avittaat	nil
aviusarput	nil
aviusivoq	nil
aviutitsivoq	det ringer for hans ører
aviuvoq	nil
avoqqaarlerajuppoq	nil
avoqqaarlerpoq	nil
avoqqaarliut	nil
avoqqaartuutigaa	nil
avoqqaaraa	bebrejder ham noget; irettesætter ham
avunga	nordpå; mod nord
avungarsuaq	nil
avungaraallak	nil
avungaannarpoq	nil
avunnarpoq	rejser nordpå
avunnaapput	nil
avunnaappaa	nil
avunnaasut	nil
avusuppoq	har lyst til at spise noget specielt mens hun er gravid
avusuppoq	har lyst til at spise noget specielt mens hun er gravid
avuuna	nil
avuunaqquppoq	nil
avuunaqquppaa	nil
avuunaraallak	nil
avuvoq	nil
avaaginninneq	godgørenhed (-en)
avaaginnippoq	nil
avaagaa	er godgørende imod ham
avaakallappoq	har fået lede ved noget; har fået mere end nok
avaakallatsippaa	nil
avaakallaappaa	har fået lede ved det; har fået mere end nok af det
avaalaqiaq	dværgbirk (-en)
avaalaqissiarpoq	nil
avaalaqissiartaat	nil
avaalaqiaaluit	nil
avaalavoq	hujer
avaalavaa	nil
avaallappaat	de kommer med hånende tilråb til ham/dem
avaallattut	nil
avaalaarpoq	nil
avaalaartorpaa	nil
avaannarpoq	nil
avaanngugaa	er led og ked af det
avaanngunarpoq	det er ikke til at holde ud; det er dødkedeligt
avaanngusuppoq	føler lede ved noget; keder sig
avaannguuppaa	nil
avaannguussivoq	nil
avaannguvoq	nil
avaaq	nakkeben; baghoved (-et)
avaarpoq	slår baghovedet; har fået nok
avaarpaa	nil
avaartippaa	nil
avaartaasiorpoq	nil
avaartaat	kølle (-n) (til at aflive fisk med)
avaartaavoq	nil
avaarunnarsivoq	nil
avaaruppaa	har fået nok af det
avaarussivoq	nil
avaassorpaa	er godgørende imod ham
backi	back
bakki	bakke
bakteria	bakterie
bakteria noqartitsisartoq	stivkrampebakterie
bakteria sunnerneqarsinnaanngitsoq	resistent bakterie
bakterianik ilinniut	læren om bakterier
bakteriaqanngitsoq	steril
balkonngi	balkon
ballasti	ballast
balletti	ballet
ballonngi	ballon
bamse	bamse
banani	banan
banjo	banjo
bankbogi	bankbog
banki	bank
banko	bankospil
baptisti	baptist
barakki	barak
barduuni	bardun
Barentsip eqqaamiui	Barents regionen
basalti	basalt
base	base (et militært anlæg)
basaareqarpoq	der afholdes basar
basaari	basar
batteri	batteri, pacemaker
baviani	bavian
BEC-kode	BEC-kode
beduini	beduin
behaviorisme	behaviorisme
behovspyramidi	behovspyramide
benziina	benzin
betingninngi	betingning
beton	beton
bibliotekari	bibliotekar
bifagi	bifag
biibili	bibel, Biblen
biileerniartoq	autoforhandler
biilerfik	kørebane
biilerpoq	kører i bil
biilertoq	bilist
biili attartorallagaq	erstatningskøretøj
biili nioqqutissanik assartuut	varevogn
biili usisaat	lastvogn
biilinut uninngatitsivik	parkeringsplads
bikorti	bikort
bilagi	bilag
biletti	billet
bilitsilerisoq	billettør, billetkontrollør
bilitsilerivik	billetkontor
billardi	billard
billioni	billion
bingo	bingospil
bingorpoq	spiller bingo, der er bingo
Bio-diversitetskonventionen	Bio-diversitetskonventionen
biografi	biograf
biologi	biolog
biologii	biologi
biskoppeqarfik	stift, bispedømme
biskoppi	biskop
biskorpi	biskop
biskorpinngorpoq	bispevies
biskorpiuneq	ærkebiskop
bismeri	bismer
blanketti	blanket
blokfløjte	blokfløjte
blokki	blok, skriveblok
blomkåli	blomkål
Blå Korsi	Blå Kors
BNI	BNI
BNP	BNP
boksi	boks
boligstøtte	boligstøtte
boligstøtteudvalgi	BSU eller Boligstøtteudvalget
bolschevikki	bolschevik
bommi	bom
bonussi	bonus
borgmesteri	borgmester
botanikki	botanik
bridge	bridge
brinti	brint
bronkitisi	bronkitis
bronze	bronze
BRT	BRT
brugseni	brugs, Brugsen
brugsi	brugs, Brugsen
bruttoregisterton	bruttoregisterton
brøki	brøk
BSU	BSU eller Boligstøtteudvalget
BT	BT
budgeti	nil
budgeti siunnersuutaasoq	overslag over fremtidige indtægter og udgifter
bulldozeri	bulldozer
bungalowi	bungalow
bussi	bus
bygderådi	bygderåd
byggelederi	byggeleder
bøffi	bøf
børnehave	børnehave
børnehaveklasse	børnehaveklasse
børnehjemmi	børnehjem
børsterpaa	børster det
børsti	børste
børstiliortoq	børstenbinder
baaja	bajer, øl
baalia	balje
baaliarpoq	tager bad i en balje; tager karbad
båndi	bånd (til en båndoptager)
båndoptageri	båndoptager
c-vitamini	c-vitamin
canadap nerlia	canadagås (-en)
case-metodi	case-metoden
celle	den mindste del af et levende væsen
celle pinngorartoq	nydannelse af celler
cello	cello
cellofani	cellofan
celsiusi	celsius
cementi	cement
cementiliorpoq	blander cement
cementip attorneratigut amerlulerneq	cementeksem
centiliteri	centiliter
centimeteri	centimeter
cerutti	cerut
champagne	champagne
chaufføri	chauffør (-en)
checkclearing	checkclearing
checki	check
checki illersugaq	crossed check
checki utertitaq	returcheck
checkimik allanneq	trassering
checkimik aningaasanngortitsineq	checkindløsning
checkimik tunniussineq	trassering
checkimik tunniussisoq	trassent
checkimut ilitsersuut	checkinstruktion
checkinik aningaasanngortitseqqusinnginneq	kontramandering
checkinik atornerluineq	checkmisbrug
checkinik atornerluisimasut allattorsimaffiat	checkmisbrugerkartotek
checkinik tunniussineq	checkudlevering
checkip nalinganik tigusisussaq	remittent
checkkonto	checkkonto
chimpanse	chimpanse
cigaretti	cigaret
cigarettikoq	cigaretskod, cigaretstump
cirkeli	cirkel
cirkusi	cirkus
citroni	citron
cl	cl, centiliter
Classification by Broad Economic Categories	Classification by Broad Economic Categories
cm	cm, centimeter
CPR	CPR
CPR-normu	CPR-nummer, personnummer
creme	creme
cykeli	cykel
cyklerpoq	cykler, krer p  cykel
cylinderi	cylinder
cypressi	cypres
Danmarki	Danmark
Danmarkimi inatsisilerituutut aningaasarsiornermullu tunngasunik il	Danmarks Jurist og  økonomforbund
Danmarkimi Kalaallit Ilinniagaqartut Kattuffiat	Sammenslutningen af grønlandske elever i Danmark
Danmarkimi naalakkersuisut	den danske regering
Danmarkimut innuttaaqataasutut piginnaatitaaffeqarneq	dansk indfødsret
Danmarkimut innuttaasoq	dansk statsborger
Danmarkip sakkutuulerneqarallarnera	Danmarks besættelse
danmarks geologiske undersøgelse	undersø gelse, danmarks geologiske
Danmarks Meteorologiske Instituti	Danmarks Metrologiske Institut; DMI
danskeq	dansker
danskisooq	en dansk bog
danskisoorpoq	taler dansk
danskisut	på dansk
danskit oqaluttuarisaanerat	Danmarkshistorie
danskit oqaasii	det danske sprog, dansk
datamaskine	datamaskine
datamati	datamat
dataniittut nalinginnarinaveersaartitaanerat	databeskyttelse
decembari	december
deciliteri	deciliter
decimalbrøki	decimalbrøk
decimeteri	decimeter
deleeriarneq	delirium
demokrati	demokrat
demokratii	demokrati
departementschefi	departementschef
Det	Det
determinisme	determinisme
diagonali	diagonal
diagrammi	diagram
diakoni	diakon
diamanti	diamant
diameteri	diameter
difteritisi	difteritis
diktati	diktat
direktioni	direktion
direktøri	direktør
diskette	diskette
Disko Bugti	Disko Bugt
diskonto	diskonto
diskosi	diskos
diskoteki	diskotek
dividende	dividende
divisioni	division (i sport)
diaavulu	djævel
DJØF	Danmarks Jurist og økonomforbund
DKIK	DKIK
dl	dl, deciliter
dm	dm, decimeter
DMI	Danmarks Meteorologiske Institut; DMI
DNA	DNA
doblerpaa	dobler det (i kortspil)
dogmatikki	dogmatik
doktori	doktor, dr.
doktorinngorniarluni ilisimatusaatitut allaaserisaq	disputats
doktorinngorniarneq	forsvar (-et) for doktorgraden
doktorinngorniarpoq	doktorere
doktorinngorniut	doktordisputats
doktorinngorpoq	bliver doktor; får doktorgraden
dollari	dollar
dommeri	dommer
Dorsetkulturi	Dorsetkulturen
dr.	dr., doktor
Dronning Ingridip Napparsimmavissua	Dronning Ingrids Hospital
dumperpoq	dumper
dunki	dunk
duplikatori	duplikator
duplikeererpaa	duplikerer det
dusøri	dusør (-en)
dynamo	dynamo
ECU	ECU
ee	nil
ee-ee	nil
eeq	nil
eeq-aa	nil
eeqak	nil
eeqqa	nil
eeqqatuk	nil
eequjavoq	nil
eersiorpoq	nil
eersuaq-una	nil
eertaliorpoq	nil
eertaq	ært (-en); bønne (-n)
eertarpaluk	nil
eertarpalunneq	nil
eertarpoq	råber om hjælp (om en kajakmand)
eertat-qaqortut	gule ærter
eertat-qernertut	brune bønner
eertaappoq	nil
eertaasaq	nil
eeraa	nil
ef-imut innuttaaqataasoq	ef-statsborger
EFTA	EFTA
efterskole	efterskole (-n)
efterskole	efterskole
elektriciteti	elektricitet (-en)
elektricitetiliorfik	elværk (-et)
elektronik atorlugu allakkat	elektronisk post
elevatori	elevator (-en)
elværki	elværk (-et)
emalje	emalje (-n)
emblemi	emblem (-et)
emmission	emmission
EMS	EMS
ENS	ENS
eqallerpoq	nil
eqalliarajuppoq	nil
eqalliarfik	nil
eqalliarpoq	er taget på ørredfangst (for at samle forråd)
eqallivoq	ryger, salter eller tørrer ørreder på stedet
eqallut	nil
eqaloraq	nil
eqalugak	nil
eqalugalissuit (tasiat)	malenesøen
eqalugaq I	en ikke udvokset ørred
eqalugaq II	polartorsk (-en)
eqalugiaq	nil
eqalugissat	irkens havn
Eqalugaarsuit	(stednavn)
Eqaluit	(stednavn)
eqaluit paarliit	præstefjord
eqaluit suaasaat	nil
eqaluit-suaasaat	sagogryn (-ene)
eqaluk	fjeldørred (-en); ørred (-en); "laks" (-en)
eqalunniarpoq	er på ørredfangst
eqalussiorpoq	nil
eqalussuannguvoq	er hajfuld (om en slædehund der har spist frisk eller gæret hajkød)
eqalussuaq	nil
eqalussuaq I	haj (-en); havkal (-en)
eqalussuaq II	et blåligt bomuldsstof
eqalussuaq-kukilik	pighaj (-en)
eqalussuup nulia	rokke
eqarpoq	er stiv
eqartangerpoq	nil
eqarti	narv (-en); skindets yderste lag
eqartillerpoq	nil
eqartiluppoq	nil
eqartippoq	nil
eqartaa	nil
eqartaaruppoq	har mistet narven; er blevet tyndslidt (om et skind)
eqaraa	har svært ved det (f.eks. sprog)
eqatalaarpoq	går stift; opfører sig stift
eqeerpoq	bliver lysvågen
eqeersagaaneq	vækkelse (-n)
eqeersarpaa	nil
eqeersimaartoq	initiativrig; aktiv; vågen
eqeersoorpoq	ligger vågen; kan ikke falde i søvn
eqeersuummisaarpoq	nil
eqeersuummivoq	nil
eqeersaasartoq	nil
eqeersaat	nil
eqeq	mundvig
eqeq	mundvig (-en)
eqeqqoq	lillefinger (-en)
eqeqqoq	lillefinger
eqeqqormippaa	nil
eqerlunneq	rhagade
eqerlunneq	rhagade
eqi	en vig i en fjord
eqi	mundvig
eqiagaa	gider ikke gøre det
eqianarpoq	nil
eqiannivoq	nil
eqiasuippoq	er flittig
eqiasuppoq	er ugidelig; er doven; er lad
eqiatitaarpoq	gider ikke
eqiatsitaarpoq	nil
eqiatsaappaa	nil
eqiattarpoq	er sløv; er doven; er lad
eqigaaq	nil
eqiiallappoq	føler sig oplivet; der kommer liv i ham
eqiiallaatigaa	nil
eqiingasoq	aktiv
eqiingasoq	aktiv
eqiingasuuvoq	nil
eqiingasaarpoq	nil
eqiingavoq	er vågen; er opvakt; er kvik
eqiinnaanneq	foretagsomhed
eqikkarneq	sammentrækning
eqikkarpoq	nil
eqikkaaneq	opsummering
eqikkaaneq	opsummering (-en)
eqikkaaneq	opsummering
eqikkaaneq; eqikkagaq; naalisarlugu nassuiaat; eqikkaalluni isummer	konklusion
eqikkaaneq; katitsineq	sammenlægning
eqikkaaneq/-gaq; ataatsimut (naatsumik) oqaatigalugu	resumé
eqillerpoq	nil
eqiluppoq	nil
eqimallutik	nil
eqimapput	de er tæt sammen
eqimasut	nil
eqimattakkuutaarput	nil
eqimattat	bunke (-n)
eqimattaaluit	nil
eqimavoq	nil
eqimmapput	nil
eqimmattorsuit	nil
eqineq (naleqq. suliumatussuseq)	foretagsomhed
eqinga	nil
eqinganeq	rynke
eqinganiippoq	nil
eqingasoorpoq	nil
eqingasulippoq	nil
eqingasulittoq	rynket
eqingavoq	forkrampet
eqingavoq	er krympet
eqinnaalliorpoq	nil
eqinnaappoq	er hjælpsom; er arbejdsvillig
eqinnaaserpoq	nil
eqinnaasaarpoq	nil
eqinnaatsoq	aktiv
eqinnaatsoq	aktiv
eqip ilua	ydre mundhule
eqip iluatigut kiisarluni manngertinneq	kindbidningsliste
eqip iluatigut kiisarluni manngertinneq	kindbidningsliste
eqippoq	krymper
eqipput	de hilser på hinanden; de giver hinanden hånden; de omfavner hinand
eqippaa	hilser på ham; giver ham hånden; trykker ham i hånden; omfavner ham
eqisaluppoq	nil
eqisalutsippoq	nil
eqisaluttoq	rynket
eqisarneq	tics
eqisarpoq	har muskeltrækninger
eqisartitsivoq	har trækninger i øjelåget (som tegn på at der vil komme fremmede el
eqisimiaq	nil
eqisimiarpaa	nil
eqisimissat	håndfuld (-en)
eqisimisserpoq	nil
eqisimissiuppaa	nil
eqisimmapput	nil
eqisimaarput	de går med hinanden under armen; de går arm i arm
eqisimaarpaa	nil
eqissullugu	nil
eqissuppoq	nil
eqissuppaa	er forarget over at han ikke tager sig noget til
eqissussivoq	nil
eqisaavaq	myggelarve (-n)
eqitaq	en pind til styrkeprøve (en grønlandsk leg)
eqitarsorput	nil
eqiteriffik	nil
eqiterineq (naleqq. eqqarsarluarneq aamma ukkissineq)	koncentration
eqiterineq; unerartitsineq; katersineq	deponering
eqiterivoq	nil
eqiterpai	samler dem sammen i en bunke
eqiterput	de samler sig
eqiterpaa	krøller det sammen
eqitersimasoq	krøllet
eqiterupput	de stimler sammen
eqiterutit	rive (-n)
eqiterutitaarpoq	nil
eqitikkat	nil
eqitippaa	nil
eqitsineq; naalisaaneq	sammenfatning
eqitsit	nil
eqitsivoq	nil
eqittaapput	nil
eqittaavoq	trykker folk i hånden
eqitaarput	nil
eqivoq	nil
eqoqittarpaa	nil
eqoqittaavoq	nil
eqoriippoq	nil
eqorpoq	tørrer sig bagi
eqorpaa	nil
eqortippoq	nil
eqortorpoq	nil
