13-skala	«13»skalo
Bemærkninger til lovforslag	Bemærkninger al legxpropono
benbrud	ostrompigxo
benet sover/armen sover/det snurrer i benet eller armen	la gambo dormas/Armen dormas/gxi ronronas en la gambo aü la brako
ben	gambo
benhinde	gambhauxteto
benknappen på enden af et fuglespyd	la gambbutono sur la fino de * birdlanco
benringen på en harpun	la gambringo sur * harpuno
ben til at gnave	gambo al * rodi
benvæv	gambhisto
benytter lejligheden	prutili al la okazo
benzin	benzino
benzin/petroleum	benzino/petrolo
benzintank	benzinujo
benægter hans skyld	kontestas lia(j) kulpo
benævnelse/betegnelse/titel/navn	prcitado/betegnelse/titolo/nomo
benåder ham	benåde lin
benådning	benådning
beramme	beramme
berammelse	berammelse
beredskabslager	disponebl«lager»
beredskabsplan	disponeblplano
beregnet til to	kalkulita * to
beregningsform	«beregning»formo
beregningsgrundlag	«beregning»bazo
berejst/én der har rejst meget	berejst/unu kiu(j) havas starigis multo
beretning	prdirekto
berettiget	rajte
berigelse	berigelse
berigelsesforbrydelse	«berigelse»krimo
berigtige	gxustigi
beroligende lægemiddel	sedativa kuracilo
beroligende	trankviliganta(j)
berostille	berostille
beruselse/rus &	ebrieco/ebrio &
beryl	berilo
berømthed/berømt	fameco/fama
berøre/berører det/rører ved det	tusxi/tusxas gxi/movas cxe gxin
berøringsangst	tusxtimego
beskaffenhed	kvalito
beskatning	beskatning
beskatningsprocent	«beskatning»procento
besked	sciigo
beskikkelse	prfiguro
beskikke	prsendi
beskrivelse	priskribo
beskyder dem	prpafas ilin
beskyttede arbejdspladser	protektita laborejoj
beskytte	protekti
beskytter det	protektas gxin
beskytter/forsvarer	paladino/arierulo
beskytter ham/tager ham i forsvar	protektas lin/prenas lin en defendo
beskytter ikke mod kulde/er dårligt isoleret	paladino ne kontraux malvarmo/estas malbone izola
beskytter	paladino
beskyttet bolig	protektita logxejo
beskyttet pensionat	protektita pensionato
beskyttet værksted	protektita metiejo
beskæftigelse	okupo
beskæftigelsesforanstaltning	okup«foranstaltning»
Beskæftigelsesgrad	Beskæftigelsesgrad
beskæftigelsesprojekt	okupprojekto
beskæftigelsesvolumen	okupvolumeno
beskæftiger sig med det/underholder sig med ham/det	okupigas sin kun gxi/distras sin kun lin/gxin
beskæftiger sig med noget der er anstrengende for øjnene	okupigas sin kun io kiu(j) estas strecxa por la okuloj
beskæftiger sig med sprog	okupigas sin kun lingvo
beslaglæggelse	«beslag»«læggelse»
beslaglægger noget/konfiskerer noget	konfiskas io/konfiskas io
beslutningsdygtig/bestemmelsesret	decidkompetenta/destinrajto
beslutningsgrundlag	decidbazo
beslutningskompetence	decidkompetenteco
beslutningsproces	decidproceso
beslutter sig til at q40/bestemmer sig/tager en beslutning	decidas sin al ke q40/determinas sin/prenas * decido
besparelsesforanstaltninger	ekonomiz«foranstaltning»
bestand	bestand
bestandene, udvikling i	bestand, evoluo en
bestand, given	bestand, given
bestemmelse/autoriseret/bestemmelse	destino/autoriseret/destino
bestemmelse/beføjet til	destino/beføjet al
bestemmelse/beslutning	destino/decido
bestemmelsesland	destinlando
bestemmelsessted	destinloko
bestemmelse/træffe	destino/renkonti
bestemmer positionen	determinas la pozicio
bestemt/besluttet/fastsat	certa/firmanima/asignita
bestemt/fast/fastsat	certa/firma/asignita
bestikkelse	korupto
bestiller en ting der skal laves	mendas * ajxo kiu(j) devas farigxi
bestiller varer efter katalog	mendas dauxras post katalogo
bestillingsarbejde	mendlaboro
bestyrelse	estraro
bestyrer	administranto
beståelseskrav	«beståelse»postulo
bestået	bestået
består/eksisterer	ekzistas/ekzistas
består	ekzistas
besvimelse	sinkopo
besvimer/bliver svimmel og falder	svenas/igxas vertigxa kaj falas
besvimer/det sortner for hans øjne	svenas/gxi sortne por lia(j) okuloj
besvimer/rådner	svenas/kariigxas
besvimer	svenas
besvimmelse	besvimmelse
besætningen på en konebåd eller robåd	la prfrazo sur * virinboato aü remboato
besætning/mandskab	prfrazo/teamo
besætning	prfrazo
besætter det	okupas gxin
besøger dem alle efter tur	vizitas ilin cxiuj post ekskurso
betaler afgift/betaler skat	pagas imposto/proratoro imposto
betaler af på det	proratoro * sur gxin
betaler det/betaler ham	proratoro gxi/pagas lin
betaler det i rater	proratoro gxi en rate
betaler det tilbage	pagas gxi re(en)
betaler	proratoro
betaling/bidrag	pago per kontribuo
betaling/gebyr/provision/bidrag/licens/kontingent/bøde	pago per depago per procentajxo per kontribuo per licenso per kotizo per monpuno
betaling/løn/vederlag/honorar/dusør	pago/salajro/rtavolo per salajro per trovrekompenco
betaling, passende	pago, tauxg(ig)anta(j)
betalingsbalance	pagbalanco
betalingsevne ? ? ?	pagkapableco ? ? ?
betalingsevne	pagkapableco
betalingsformidling	pagperado
betalingskommune	pagkomunumo
betalingsmodtager	pagricevanto
betalingsordre/opkrævning/inddrivelse	pagordono/opkrævning/inddrivelse
betalingspligtige	pag«pligtig»
betalingsregler	pagreguloj
betalingsservice	pagmangxilaro
betalingsstandsning	pagmarasmo
( betegnelsen for de inuit/eskimoer i canada og alaska som bor inde	( betegnelse por ili Inuit/eskimoj en Kanado kaj Alasko kiu logxas ene
betinge	kauxzi
betingelse	kondicxo
betinget anstaltsdom	modala institucidomeco
betinget dom	modala -eco
betinget frakendelse	modala forverdikto
betinget optagelse	modala registrajxo
betingning	betingning
betleri	«betle»ado
beton	betono
betonkar	betonujo
betragter det/ser på det	rigardas gxi/vidas sur gxin
betrukne	pr«trukken»
betræk	tegajxo
betyder	signifas
betændelse af ledbrusken	inflamo de la nauxzkartilago
betændelse af mandlerne	inflamo de la migdaloj
betændelse i bindevævslag	inflamo en konektivtavolo
betændelse i bitestikel	inflamo en epididimo
betændelse i brusk	inflamo en kartilago
betændelse i galdeblæren	inflamo en la galveziko
betændelse i hjertet	inflamo en la koro
betændelse i hofteleddet	inflamo en la koksartiko
betændelse i lillehjerne	inflamo en malgrandcerbo
betændelse i nerven	inflamo en la nervo
betændelse	inflamo
betændelse i og ved talgkirtlerne	inflamo en kaj cxe la sebglandoj
betændelse i tungen	inflamo en la lango
betændelse/materie	inflamo/materio
betændelsesreaktion	inflamreago
betænkning	pr«tænkning»
beundrer ham	admiras lin
beundrer hendes skønhed/synes at hun ser dejlig ud/synes at det e	admiras sxia(j) beleco/sxajnas ke sxi vidas belega eksteren/sxajnas ke tiu e
bevaringsforanstaltninger	konservad«foranstaltning»
bevaringsværdige bygninger	konservaddigna konstruajxoj
bevaringsværdige områder	konservaddigna regionoj
bevaringsværdig	konservaddigne
bevidne	aserti
bevidste nervesystem	konscia nerva sistemo
bevidstgørelse	konsci«gørelse»
bevidsthed	konscio
bevidsthedsplumring	konsci«plumring»
bevidsthedsspaltning	konscifendigo
bevidsthedsvækkelse	konsci«svækkelse»
bevidst	konscie
bevilling	koncesio
bevillingskontrol	koncesikontrolo
bevillingsmyndighed	koncesiinstanco
bevillingsperiode	koncesiperiodo
bevirke eller medvirke	kauxzi aü kunfunkcii
bevirke	kauxzi
bevis/bekræftelse/kvittering/dokumentation ( - en	pruvo/certigilo/kvitanco/certigilo ( - onin
bevisbyrde	pruvsxargxo
bevis/dokumentation	pruvo/certigilo
bevisførelse	demonstracio
bevismidler	atestiloj
bevis	pruvo
bevæbner sig	armas sin
bevægelse	adukcio
bevægelseshæmmede	bevægelseshæmmet
bevæger sig baglæns/bakker	movas sin malantauxen/malantauxeniras
bevæger sig/er oprørt	movas sin/estas sormovita
bevæger sig forbi	movas sin preter
bevæger sig i luntetrav	movas sin en mecxajxtroto
bevæger sig indefter	movas sin indefter
bevæger sig langs kanten af det	movas sin laux la egxo de gxi
bevæger sig langs med det	movas sin lauxlonge kun gxi
bevæger sig langsomt/er sendrægtig/haster ikke	movas sin malrapide/estas malrapidema/rapidas ne
bevæger sig længere ind i landet	movas sin pli longe en la lando
bevæger sig med stor fart	movas sin kun granda veturo
bevæger sig mod vest/går mod vest	movas sin kontraux okcidente/iras kontraux okcidente
bevæger sig mod øst/går mod øst	movas sin kontraux oriente/iras kontraux oriente
bevæger sig nedad/går nedad	movas sin malsupren/iras malsupren
bevæger sig omkring det/går rundt om det	movas sin cxirkaux gxin/iras cyirkaux gxin
bevæger sig opad/bevæger sig opefter	movas sin supren/movas sin opefter
bevæger sig over det/flyver over det	movas sin super gxin/flugas super gxin
bevæger sig ret tæt ved det	movas sin gxuste proksime de gxi
bevæger sig ud ad fjorden/er på vej ud ad fjorden	movas sin el la fjordo/estas sur vojo el la fjordo
bevæge sig nedad ? ?	movi sin malsupren ? ?
beværter	regalas
BFI	BFI
bh/brystholder	bh/brustingo
bibeholder det/bliver ved med at+	konservias gxi/igxas * kun at+
bibel, biblen	biblio, Biblen
bi	bi
bibliotekar	bibliotekisto
bibliotek	biblioteko
biblioteksvæsen	bibliotek«væsen»
bidanalyse	pecanalizo
bid/det man tygger/en mundfuld mad	peco/gxin oni macxas/* gluto mangxajxo
bider den ihjel/knækker den mellem tænderne	mordas gxi frakase/rompas gxi inter la dentoj
bider et stykke af det	mordas * peco de gxi
bider ham/det ihjel	mordas lin/gxin frakase
bider ham/det	mordas lin/gxin
bider i det	mordas en gxin
bider	mordas
bidfunktion	pecfunkcio
bidhøjde	pecalteco
bidlåsning	pec«låsning»
bid	peco
bidrag	kontribuo
bidragsberettiget	kontriburajte
bidragsmetode	kontribumetodo
bidragspligtig	kontribu«pligtig»
bidragspligt/indløsningspligt	kontribudevo/«indløsning»devo
bidragsrestance	kontribu«restance»
bidragsskyldig	kontribukulpe
bidrekonstruktion	pec«rekonstruktion»
bidsel	brido
bidskinne	pecrelo
bidslibning	pec«slibning»
bidsår	pecvundo
bidsår/stik	pecvundo/piko
bierhverv	kromlaboro
bifag	bifag
bigami	bigamio
bihul	bihul
bihulebetændelse	sinusito
biindtægt	biindtægt
bijob	bijob
bikort	bikort
bilag	bilag
bilaterale aftaler	bilateral interkonsentas
bilder ham noget ind	formas lin iom enen
bilder ham noget ind/får ham til at tro på noget forkert	formas lin iom enen/ricevas lin al * kredi sur io malgxusta
bilder ham noget ind/tager ham ved næsen/narrer ham	formas lin iom enen/prenas lin cxe la nazo/mistifikas lin
bilder ham noget ind/tager ham ved næsen/narrer ham/snyder ham	formas lin iom enen/prenas lin cxe la nazo/mistifikas lin/trompas lin
bilist	auxtisto
billard	bilardo
billede	bildo
billedskærer/billedhugger	bild«skærer»/cxizisto
bille	koleoptero
billet	bileto
billetkontor	biletoficejo
billettør, billetkontrollør	biletanto, biletkontrolisto
billion	biliono
bilyde	bilyd
binder bøger ind	ligas libroj enen
binder det fast til noget	ligas gxi firme al io
binder det	ligas gxi
binder det sammen/binder det fast/binder ham på hænder og fødder	ligas gxi kune/ligas gxi firme/ligas lin * okazas kaj piedoj
binder en sløjfe på det/binder det med en sløjfe	ligas * banto sur gxin/ligas gxi kun * banto
binder et bånd om det/sætter en elastik om det	ligas * ligilo je gxin/metas * elastik je gxin
binder remmene på sine kamikker/binder sine snørebånd	ligas la rimenoj sur siaj kombil(ik)oj/ligas siaj lacxo
bindestreg	ligosigno
bindevæv	konektivo
bindevævsbjælke	konektivtrabo
bindevævssygdom	konektivmalsano
bind/forbinding/bevikling	volumo/bandagxo/prvolvajxo
binding	binding
b-indkomst	«B»enspezo
b-indkomstfradraget	la «Bindkomst»dekalkulo
b-indtægt	benspezo
b-indtægt/b-indkomst/b-indkomst	«B»enspezo/«B»enspezo/benspezo
bind	volumo
bingospil	bingolotumadludo
binyre	adreno
binyrebark	adrensxelo
binyremarv	adrenmedolo
bio-diversitetskonventionen	la «*bio»«diversitet»konvencio
biografi	biografio
biograf	kinejo
biokemi	biokemio
biolog	biologo
biologi	biologio
biologisk	biologie
biopsi	biopsio
biord	adverbo
biotet	biotet
biotop	biotopo
birk	betulo
biseksuel	biseksuel
bisidder	bisidder
biskop	episkopo
bismer	bismer
bisol/bimåne	bisol/bimåne
bisonokse	bizonbovo
bispekåbe	episkopmantelo
bispevies	ordinigxas
bistandsperiode	subtenperiodo
bistandsplan	subtenplano
bistand	subteno
bistandsvirksomhed	subtenentrepreno
bistandsværge	subtendefendo
bisætning	subpropozicio
bitestikel	epididimo
bivirkning	kromefiko
bjergarter	montspecoj
bjergbestiger	bjergbestiger
bjerger hø	savas fojno
bjergged	montkapro
bjergkrystal	montkristalo
bjerglærke	montalauxdo
bjergpas	intermonto
bjæffer/gør	bojacxas/faras
bjærgning	bjærgning
bjørnehi	ursvintrodormo
bjørnejæger	urscxasisto
bjørnesund	ursmarkolo
bjørneøen	bjørneøen
bjørn/isbjørn	urso/blankurso
black-out	black out
blader i den/det	blade en gxin/gxin
bladet på en lanse eller harpun	blade sur * lanco aü harpuno
bladet på en åre	blade sur * vejno
blad	folio
bladmave	omaso
blad/tidsskrift	folio/jxurnalo
blafrer	flagras
blander cement	miksas cemento
blander dem	miksas ilin
blander det/mikser det sammen	miksas gxi/miksas gxi kune
blander det sammen/blander det i	miksas gxi kune/miksas gxi en
blander det sammen	miksas gxi kune
blander kortene	miksas la kartoj
blander sig i det	miksas sin en gxin
blander sig i noget/blander sig med nogen	miksas sin en io/miksas sin kun iu
blander sig med dem	miksas sin kun ilin
blanding	miksajxo
blandingsmiddel/kemikalie ? ? ?	miksajxrimedo/hxemiajxo ? ? ?
blanket	blanketo
blankis	brilpurglacio
blankolån	blankumprunto
ble	fektuko
bleges af luften	blankigigxas de la aero
bleg	pala
blev meget overrasket/kan slet ikke fatte det	igxis tre surprizita/povas tute ne ekpreni gxin
blev overrasket af blæsevejr/det begyndte at blæse mens han end	igxis surprizita de blovvetero/la komencita * blovi dum li ol
blev overrasket af søndenvinden, sydvesten eller sydosten/der begy	igxis surprizita de la «sønden»vento, la sudokcidento aü la sudfromagxo/tie begy
blidt/blødt/svagt	blidt/mola/malforta
blikkenslager	ladisto
blikplade	lado
blind	blinda
blindekonsulent	blindkonsilanto
blindetarmen	la blindintesto
blindetarmsbetændelse	blindetarmsbetændelse
blindhed	blindeco
blindskrift	blindskrib(ajx)o
blindtarm	cekumo
blinker med øjnene/blinker	ekbrilas kun la okuloj/ekbrilas
blinker med øjnene	ekbrilas kun la okuloj
blinker til ham	ekbrilas al lin
blisgås	«blis»ansero
blivende tand	blivende dento
bliver afkølet/bliver afsvalet	igxas malvarmigita/igxas elhirundo
bliver alene tilbage	igxas izola re(en)
bliver anholdt/bliver taget til fange	igxas arestita/igxas prenita al kaptito
bliver arrig/bliver irriteret	igxas kolerema/igxas iritita
bliver bange for at der skal ske noget alvorligt med ham/det	igxas timigita por ke tie devas okazi io grava kun lin/gxin
bliver bange ved synet af en fremmed	igxas timigita cxe la vido de * fremda
bliver bange ved synet af ham	igxas timigita cxe la vido de lin
bliver behandlet skødesløst/bliver misbrugt	igxas pritraktita malzorge/igxas fusxuzita
bliver bekymret	igxas afliktite
bliver beruset	igxas ebriigita
bliver beskadiget/kommer i uorden	igxas damagxita/venas en malordo
bliver betænkelig/tøver	igxas skrupula/hezitas
bliver bleg/blegner/bleges	igxas pala/paligxas/blankigigxas
bliver bleg/blegner	igxas pala/paligxas
bliver blind	igxas blinda
bliver blød	igxas mola
bliver bragt frem	igxas alportita antauxen
bliver båret	igxas portita
bliver der dagen over	igxas tie la tago trans
bliver doktor/får doktorgraden	igxas doktoro/ricevas la doktoreco
bliver drillet meget	igxas mokita tre
bliver døbt	igxas baptita
bliver døv af et voldsomt brag	igxas surda de * furioza krako
bliver ét med noget andet	igxas unu kun io alia
bliver flov/bliver skamfuld/bliver pinligt berørt	igxas embarasita/igxas hontema/igxas embarase tusxita
bliver forarget/bliver stødt/bliver såret	igxas cxagrenita/igxas frapita/igxas vundigita
bliver forarget over det	igxas cxagrenita super gxin
bliver forarget over noget han hører	igxas cxagrenita super io li auxdas
bliver forarget over noget	igxas cxagrenita super io
bliver forbavset	igxas mirigita
bliver forbløffet/bliver forbavset	igxas mirigita/igxas mirigita
bliver forfærdet/bliver forskrækket	igxas terurigita/igxas timigita
bliver forhindret i at komme frem/bliver trængt til side	igxas malhelpita en * veni antauxen/igxas pusxita flanken
bliver forkullet	igxas karbigita
bliver fornærmet/bliver stødt	igxas ofendita/igxas frapita
bliver fornærmet på ham	igxas ofendita sur lin
bliver forsinket	igxas malfruigxita
bliver forskrækket	igxas timigita
bliver forskrækket over det/vågner op ved det	igxas timigita super gxin/vekigxas supren cxe gxin
bliver fortvivlet	igxas fortvivlet
bliver fortørnet/bliver stødt	igxas fortørnet/igxas frapita
bliver fortørnet over det	igxas fortørnet super gxin
bliver forvirret/bliver pludselig hidsig	igxas konfuzita/igxas subite kolerema
bliver forvirret	igxas konfuzita
bliver forvænt	igxas forvænne
bliver frygtelig forskrækket/dør af skræk	igxas terure timigita/mortas de teruro
bliver frygtelig forskrækket	igxas terure timigita
bliver fugtig/bliver klam	igxas humida/igxas fridhumida
bliver fåmælt	igxas malparolema
bliver gammel	igxas maljuna
bliver genert/undser sig	igxas embarasita/hontas sin
bliver gennemvåd	igxas permalseka
bliver gjort til grin/bliver latterliggjort/bliver offer for et o	igxas farita al ridacxo/igxas ridindfarita/igxas viktimo por * o
bliver gratis	igxas senkosta
bliver grebet/bliver rørt	igxas ekprenita/igxas movita
bliver grebet i at gøre nar af ham	igxas ekprenita en * fari malsagxulo de lin
bliver grå	igxas griza
bliver gråsprængt	igxas griz«sprængt»
bliver halv	igxas duona
bliver ham svar skyldig/kan ikke finde på noget svar	igxas lin respondo kulpa/povas ne trovi sur iu/io respondo
bliver hans forbundsfælle/slutter sig til ham	igxas lia(j) federito/finas sin al lin
bliver henrykt	igxas henrykt
bliver hentet	igxas irprenita
bliver hidsig	igxas kolerema
bliver holdt oppe af det/holder sig flydende ved hjælp af det	igxas tenita supre de gxi/tenas sin fluanta(j) per gxin
bliver hovmodig/bliver aggressiv	igxas malhumila/igxas agresema
bliver hurtigere til bens	igxas pli rapida al de gambo
bliver hængende fast/hænger fast/hænger i	igxas pend(ig)anta(j) firma/pend(ig)as firme/pend(ig)as en
bliver hæs	igxas rauxka
bliver højtidelig og citerer bibelen	igxas ceremonia kaj citas la biblio
bliver hård/bliver sej	igxas malmola/igxas rezista
bliver hård	igxas malmola
bliver ikke til noget	igxas ne al io
bliver inviteret/bliver indbudt	igxas invitita/igxas invitita
bliver irriteret/bliver gal i hovedet/bliver vred	igxas iritita/igxas freneza en la kapo/igxas kolera
bliver i stand til noget	igxas kapabla al io
bliver ivrig/får pludselig lyst til at ...	igxas entreprenema/ricevas subita emo al ke ...
bliver ivrig	igxas entreprenema
bliver kastet op på land af bølgerne	igxas jxetita supren sur lando de la ondoj
bliver ked af det/bliver nedtrykt	igxas malgxoja de gxi/igxas deprimita
bliver ked af det/bliver såret/bliver stødt	igxas malgxoja de gxi/igxas vundigita/igxas frapita
bliver konfirmeret	igxas konfirmita
bliver koppevaccineret	igxas «koppe»inokulita
bliver krum/bøjes	igxas kurba/fleksigxas
bliver langhåret	igxas long«håret»
bliver lavere	igxas pli malalta
bliver let forskrækket	igxas facile timigita
bliver let solbrændt	igxas facile sunbrunigita
bliver let stødt/bliver fornærmet over ingenting	igxas facile frapita/igxas ofendita super nenio
bliver lettere	igxas pli facila
bliver liderlig/bliver helt vild med ham/hende	igxas fiema/igxas tute sovagxa kun lin/sxin
bliver lunken	igxas lunke
bliver lystig/bliver livlig	igxas gaja/igxas vigla
bliver lysvågen	igxas helmaldorma
bliver længere/forlænges	igxas pli longa/plilongigigxas
bliver mager af det	igxas magra de gxi
bliver mager	igxas magra
bliver meget overrasket	igxas tre surprizita
bliver mere og mere .../er slet ikke til at standse/sker i et stig	igxas cxiam pli .../er tute ne al * haltigi/okazas en * levigxu
bliver mere rummelig/udvider sig	igxas pli vasta/vastigas sin
bliver mindre	igxas pli malgranda
bliver mismodig/bliver nedslået/taber modet	igxas miskuragxa/igxas subenbatita/perdas la kuragxo
bliver mistænksom/får mistanke	igxas suspektema/ricevas suspekto
bliver munter/bliver glad/bliver livlig	igxas vigla/igxas gxoja/igxas vigla
bliver mæt	igxas sata
bliver nedslået/bliver trist	igxas subenbatita/igxas malgxoj(ig)a
bliver nævnt	igxas menciita
bliver omskåret	igxas cirkumcidita
bliver opdaget ved et tilfælde	igxas malkovrita cxe * (o)kazo
bliver ophidset/bliver vred	igxas incitegita/igxas kolera
bliver ophidset/optræder hensynsløst	igxas incitegita/sinmontras drakone
bliver overrasket af stormvejr/det blev stormvejr mens han ...	igxas surprizita de sxtormvetero/gxi igxis sxtormvetero dum li ...
bliver overrasket af tåge/det blev tåget mens han ...	igxas surprizita de nebulo/gxi igxis tåge dum li ...
bliver overrasket/bliver paf	igxas surprizita/igxas paf
bliver overrasket	igxas surprizita
bliver overskyet	igxas supernuba
bliver overstadig/bliver uartig	igxas superdauxra/igxas malobeema
bliver pensioneret	igxas pensiita
bliver pludselig gennemisnet/får kuldechok	igxas subite per«isne»/ricevas malvarmsxoko
bliver pludselig hidsig	igxas subite kolerema
bliver pylret/bliver pivet	igxas pylret/igxas piv
bliver påvirket/lader sig påvirke	igxas influita/lasas sin influi
bliver reddet/bliver frelst	igxas savita/igxas savita
bliver ren	igxas pura
bliver rig	igxas ricxa
bliver rummeligere/udvider sig	igxas pli vasta/vastigas sin
bliver rød i hovedet	igxas rugxa en la kapo
bliver rød i hovedet/rødmer	igxas rugxa en la kapo/rugxigxas
bliver rød/rødmer	igxas rugxa/rugxigxas
bliver røntgenundersøgt	igxas rentgenanalizita
bliver rådden	igxas putra
bliver råddent	igxas putra
bliver sig bevidst/begynder at k	igxas sin konscia/komencas ke k
bliver skuffet/havde ventet sig noget mere/havde ventet sig noget	igxas desapontita/havis atendis sin io pli/havis atendis sin io
bliver skuffet	igxas desapontita
bliver skuffet over det/finder det dårligere end han havde foresti	igxas desapontita super gxin/trovas gxi pli malbona ol li havis antauxpado
bliver sky/har fjernet sig fra sit sædvanlige opholdssted	igxas timema/havas abolis sin de sia kutima restadejo
bliver skældt ud/bliver irettesat	igxas skoldita eksteren/igxas irettesætte
bliver skæv	igxas oblikva
bliver slap	igxas malrigida
bliver slynget mod noget	igxas jxetita kontraux io
bliver sløv/mister energien	igxas malakra/perdas la energio
bliver sløvt	igxas malakra
bliver snakkesalig	igxas parolbeata
bliver snavset	igxas malpurigita
bliver snavset om munden	igxas malpurigita je la busxo
bliver solbrændt	igxas sunbrunigita
bliver sommeren over	igxas la somero trans
bliver stille	igxas kvieta
bliver stor/bliver større/vokser	igxas granda/igxas pli granda/kreskas
bliver stum	igxas muta
bliver svag/bliver afkræftet	igxas malforta/igxas senfortigita
bliver syg	igxas malsana
bliver søvnig af mæthed	igxas dormema de saturiteco
bliver søvnig oven på et kraftigt måltid	igxas dormema sur * forta mangxo
bliver tilfreds/bliver fornøjet/bliver stolt	igxas kontenta/igxas amuzita/igxas fiera
bliver tilintetgjort/bliver udryddet	igxas neniigita/igxas ekstermita
bliver træet	igxas la arbo
bliver træt af det/taber interessen for det	igxas laca de gxi/perdas la intereso por gxin
bliver tyktflydende	igxas mallikva
bliver udspurgt/bliver interviewet/bliver forhørt/bliver afhø	igxas pridemandita/igxas intervjuita/igxas jugxpridemandadita/igxas elfojno
bliver ujævn	igxas malglata
bliver umulig	igxas neebla
bliver utilpas	igxas algida
bliver utilpas/mister lysten	igxas algida/perdas la emo
bliver utydelig	igxas malklara
bliver uvenner med ham	igxas malamikoj kun lin
bliver vaccineret/får en indsprøjtning	igxas inokulita/ricevas * injekcio
bliver varm	igxas varma
bliver ved/fortsætter bevægelsen af sig selv	igxas */dauxrigas la adukcio de si mem
bliver ved/gør noget uafbrudt	igxas */faras io sencxesa
bliver ved	igxas *
bliver ved med at spise fordi det smager så godt/kan slet ikke hol	igxas * kun * mangxi cxar gxi gust(um)as tiom bone/povas tute ne hol
bliver ved med at vende tilbage til det/tror han kan blive ved med	igxas * kun * turnigxi re(en) al gxi/kredas li povas igxi * kun
bliver vinteren over/overvintrer	igxas la vintro super/travintras
bliver væltet til side	igxas renvers(igx)ita flanken
bliver værdiløs	igxas senvalora
bliver våd	igxas malseka
bliver ædt af tanglopper	igxas mangxita de talitroj
bliver ødelagt	igxas detruita
blodansamling	sangamasigxo
bloddonor	sangodonanto
blodfortyndende middel	sangatenuanta(j) rimedo
blodkar	vejno
blodprop	embolo
blod	sango
blodskam	incesto
blodskam, se incest	incesto, vidi incesto
blodstandsende middel	sanghaltiganta(j) rimedo
blodstørkning	sang«størkning»
blodsukker	sangsukero
blodtryk	sangpremo
blodtrykssænkende middel	«blodtryk»mallevanta(j) rimedo
blodtypeserologi	«blodtype»«serologi»
blodtypeundersøgelse	«blodtype»ekzameno
blodåre	sangvejno
blokbogstav	bloklitero
blokerer den	blokas gxi
blokerer passagen	blokas la trairo
blokeret gabeevne	blokita oscedkapableco
blokering	blokado
blokfløjte	fluto
blokgletschere	blokglaciejoj
blokprop	bloksxtopilo
blok, skriveblok	bloko, skribbloko
bloktilskud	bloksubvencio
bloktilskud til hjemmestyret	bloksubvencio al Hjemmestyret
bloktilskud til kommuner	bloksubvencio al komunumoj
blomkål	florbrasiko
blomsterbæger	kaliko
blomsterforretning/blomsterhandel	«blomster»komerco/«blomster»komerco
blomsterhoved	perianto
blomsterknop	florburgxono
blomster/planter/flora	blomster/plantas/flauxro
blomsterstand	cincino
blomster til en bisættelse eller begravelse/bårebuket	blomster al * bisættelse aü funebra ceremonio/brankardbukedo
blomst	floro
blomst/plante	floro/planto
blomstret	flordesegnite
blotter, se voyeur	blotter, vidi voyeur
blufærdighedskrænkelse	«blufærdighed»«krænkelse»
blufærdig	honteme
blunder	dormetas
blusser op	ardas supren
blyantspidser	krajon«spidser»
blyforgiftning	plumbtoksigxo
blyforklæde	plumbantauxtuko
blykrave	plumbkolumo
blækhus	inkujo
blæk	inko
blæksprutte	blæksprutte
blændes af det	blindigigxas de gxi
blærebetændelse	«blær»inflamo
blærehalskirtel	prostato
blærespyd	«blær»lanco
blæresten	«blær»sxtono
blæretang	vezikfuko
blære	veziko
blæsebælg	balgoblovilo
blæsehul/hullet hvor man puster luften ind	blovtruo/la truo kie oni blovas la aero enen
blæseinstrument	blovilo
blæseinstrument/trompet	blovilo/trumpeto
blæser i det	blovilo en gxin
blæst	ventblovado
bløddyr	molusko
bløde gane	mola palato
bløder	hemofiliulo
blødgør den ved at trække den over en kant	moligas gxi cxe * tiri gxin super * egxo
blødgør det	moligas gxi
blødgør det ved at gnide det mellem hænderne	moligas gxi cxe * froti gxin inter la manoj
blødgører det	moligas gxi
blødgør kamikker	moligas kombil(ik)oj
blød mad	mola mangxajxo
blød	mola
blødning fra tandkød	sangado de dentokarno
blå	blua
blåbærblade	mirtel«blade»
blåbær	mirtelo
blå himmel over åbent vand	blua cxielo super malferm(it)a akvo
blåhval	blubaleno
blåklokke	blusonorilo
blåklokke/klokkeblomst	blusonorilo/klosxfloro
blå kors	blua kruco
blår	stupo
blår til forladning eller mellemladning	stupo al forladning aü interpafajxo
blåræv	izatiso
blåside, under 1 år	bluflanko, sub 1 jaro
BNI	BNI
b-niveau	«B»nivelo
BNP	BNP
bobehandling	bobehandling
boble	aerveziko
bobler	bolsxauxmas
bobler op/der stiger bobler op	bolsxauxmas supren/tie levigxas bolsxauxmas supren
bodel	bodel
bofællesskab	bofællesskab
bogbind/bogomslag	bogbind/bogomslag
bogbinder	bindisto
bogbinderi	«bogbind»ado
bog/bøger	libro/libroj
bog/en bog man har skrevet	libro/* libro oni havas skribis
bogforlag	bogforlag
bogføring	librotenado
bogføringslov	librotenadlegxo
bogføringspligt	librotenaddevo
bogføringsregler	librotenadreguloj
boghandel	librovendejo
boghvedegryn	fagopirgrio
bog	libro
bogløs konto	librmanka konto
bogsamling	libraro
bogstav	litero
bogtrykker	presisto
bohave	bohave
bohaveflytning	«bohave»transmovado
